HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.uid,Input.url,Input.screenshot,Input.title,Input.description,Input.class,Input.bin,Answer.taskAnswers,Approve,Reject
3F6045TU7D92ZWMCLLNKKRXSCA7991,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,36ZN444YTSJ134GFH6HGJUNCMJYIOE,ARFAW0SGYEMFL,Approved,Thu Jun 03 09:05:58 PDT 2021,Thu Jun 03 09:08:36 PDT 2021,Sun Jun 06 09:08:36 PDT 2021,Sun Jun 06 09:09:07 PDT 2021,,,158,100% (512/512),0% (0/0),0% (0/0),1203673,www.bhcc.edu,1203673.jpeg,Bunker Hill Community College,"Bunker Hill Community College (BHCC), located in Boston, Massachusetts, is the largest community college in Massachusetts, with 13,000 students enrolled per semester. BHCC, founded in 1973, is fully accredited by the New England Association of Schools and Colleges (NEASC).",9,3,"[{""category-0"":""YES"",""category-1"":""YES"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3F6045TU7D92ZWMCLLNKKRXSCA7991,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,3BWI6RSP7HUI2TMU41ANNT3P4327ET,AMG9Y1YLBTKIV,Approved,Thu Jun 03 14:40:13 PDT 2021,Thu Jun 03 14:41:12 PDT 2021,Sun Jun 06 14:41:12 PDT 2021,Sun Jun 06 14:42:11 PDT 2021,,,59,100% (424/424),0% (0/0),0% (0/0),1203673,www.bhcc.edu,1203673.jpeg,Bunker Hill Community College,"Bunker Hill Community College (BHCC), located in Boston, Massachusetts, is the largest community college in Massachusetts, with 13,000 students enrolled per semester. BHCC, founded in 1973, is fully accredited by the New England Association of Schools and Colleges (NEASC).",9,3,"[{""category-0"":""NO"",""category-1"":""YES"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""YES"",""offline"":{""on"":false}}]",,
3NZ1E5QA6ZM2M2ZXGFOZZHNGEERB5M,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,3B837J3LDPHTUVBREASYHRY464VRSZ,A2CJFO19NY4T5R,Approved,Thu Jun 03 06:15:25 PDT 2021,Thu Jun 03 06:21:08 PDT 2021,Sun Jun 06 06:21:08 PDT 2021,Sun Jun 06 06:22:07 PDT 2021,,,343,100% (107/107),0% (0/0),0% (0/0),1019853,www.talkhome.com,1019853.jpeg,Nobel One  Always More,Missing meta description,10,1,"[{""category-0"":""NO"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""YES"",""offline"":{""on"":false}}]",,
3NZ1E5QA6ZM2M2ZXGFOZZHNGEERB5M,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,3ZDAD0O1T2YE6RAIC93GGEGE950XTY,AMG9Y1YLBTKIV,Approved,Thu Jun 03 11:01:51 PDT 2021,Thu Jun 03 11:02:26 PDT 2021,Sun Jun 06 11:02:26 PDT 2021,Sun Jun 06 11:03:09 PDT 2021,,,35,100% (424/424),0% (0/0),0% (0/0),1019853,www.talkhome.com,1019853.jpeg,Nobel One  Always More,Missing meta description,10,1,"[{""category-0"":""NO"",""category-1"":""NO"",""category-10"":""YES"",""category-11"":""NO"",""category-12"":""YES"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3NZ1E5QA6ZM2M2ZXGFOZZHNGEERB5M,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,3LQ8PUHQFMDRBNUSDTMQZLQBAZMIHW,A37WDOIQH6JM6V,Approved,Thu Jun 03 18:35:52 PDT 2021,Thu Jun 03 18:37:28 PDT 2021,Sun Jun 06 18:37:28 PDT 2021,Sun Jun 06 18:38:19 PDT 2021,,,96,100% (20/20),0% (0/0),0% (0/0),1019853,www.talkhome.com,1019853.jpeg,Nobel One  Always More,Missing meta description,10,1,"[{""category-0"":""NO"",""category-1"":""YES"",""category-10"":""NO"",""category-11"":""YES"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""YES"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3LG268AV38RPYS9FND3S3QYX9TSREF,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,3PWWM24LHTJU7RFXLM7SZSQVIIG829,A29VL3MZE7YPBZ,Approved,Thu Jun 03 07:38:29 PDT 2021,Thu Jun 03 07:39:14 PDT 2021,Sun Jun 06 07:39:14 PDT 2021,Sun Jun 06 07:40:07 PDT 2021,,,45,100% (27/27),0% (0/0),0% (0/0),956720,www.xzibitcentral.com,956720.jpeg,Xzibit  Rapper & Pimp My Ride  XzibitCentral.com,"Official Xzibit website with Music, Videos, Pimp My Ride, Tour & Show info, Interviews, Pictures, Lyrics all straight from Xzibit",13,1,"[{""category-0"":""YES"",""category-1"":""YES"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""YES"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3LG268AV38RPYS9FND3S3QYX9TSREF,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,3DI28L7YXBZ4R77SFLTEMJCC1GYE1X,AMG9Y1YLBTKIV,Approved,Thu Jun 03 11:00:06 PDT 2021,Thu Jun 03 11:00:46 PDT 2021,Sun Jun 06 11:00:46 PDT 2021,Sun Jun 06 11:01:10 PDT 2021,,,40,100% (424/424),0% (0/0),0% (0/0),956720,www.xzibitcentral.com,956720.jpeg,Xzibit  Rapper & Pimp My Ride  XzibitCentral.com,"Official Xzibit website with Music, Videos, Pimp My Ride, Tour & Show info, Interviews, Pictures, Lyrics all straight from Xzibit",13,1,"[{""category-0"":""YES"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""YES"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""YES"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3LG268AV38RPYS9FND3S3QYX9TSREF,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,3PQMUDRV7SRR7I5CJB4BZXRQAC4IIS,ARFAW0SGYEMFL,Approved,Thu Jun 03 13:07:53 PDT 2021,Thu Jun 03 13:17:57 PDT 2021,Sun Jun 06 13:17:57 PDT 2021,Sun Jun 06 13:18:08 PDT 2021,,,604,100% (512/512),0% (0/0),0% (0/0),956720,www.xzibitcentral.com,956720.jpeg,Xzibit  Rapper & Pimp My Ride  XzibitCentral.com,"Official Xzibit website with Music, Videos, Pimp My Ride, Tour & Show info, Interviews, Pictures, Lyrics all straight from Xzibit",13,1,"[{""category-0"":""YES"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""YES"",""offline"":{""on"":false}}]",,
33BFF6QPI1WRWQA4XNW27Y2HAJHW3W,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,33F859I567YHOFGM7JU9DYMYF7BHBR,A2CJFO19NY4T5R,Approved,Thu Jun 03 06:07:30 PDT 2021,Thu Jun 03 06:15:22 PDT 2021,Sun Jun 06 06:15:22 PDT 2021,Sun Jun 06 06:16:07 PDT 2021,,,472,100% (107/107),0% (0/0),0% (0/0),1810667,www.aaronmyers.com,1810667.jpeg,Aaron Myers  AaronMyers.com,"The Web site of Aaron Myers.  Aaron has worked in Democratic politics, advancing progressive causes and candidates online and offline.",3,1,"[{""category-0"":""YES"",""category-1"":""YES"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""YES"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
33BFF6QPI1WRWQA4XNW27Y2HAJHW3W,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,37XITHEISXUDNEMVHO2Y2MUMK19CRQ,AKSJ3C5O3V9RB,Approved,Thu Jun 03 06:06:41 PDT 2021,Thu Jun 03 06:51:47 PDT 2021,Sun Jun 06 06:51:47 PDT 2021,Sun Jun 06 06:52:07 PDT 2021,,,2706,100% (362/362),0% (0/0),0% (0/0),1810667,www.aaronmyers.com,1810667.jpeg,Aaron Myers  AaronMyers.com,"The Web site of Aaron Myers.  Aaron has worked in Democratic politics, advancing progressive causes and candidates online and offline.",3,1,"[{""category-0"":""YES"",""category-1"":""YES"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""YES"",""category-13"":""NO"",""category-2"":""YES"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
33BFF6QPI1WRWQA4XNW27Y2HAJHW3W,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,3LQ8PUHQFMDRBNUSDTMQZLQBAZ5HIE,AMG9Y1YLBTKIV,Approved,Thu Jun 03 14:46:03 PDT 2021,Thu Jun 03 14:46:53 PDT 2021,Sun Jun 06 14:46:53 PDT 2021,Sun Jun 06 14:47:11 PDT 2021,,,50,100% (424/424),0% (0/0),0% (0/0),1810667,www.aaronmyers.com,1810667.jpeg,Aaron Myers  AaronMyers.com,"The Web site of Aaron Myers.  Aaron has worked in Democratic politics, advancing progressive causes and candidates online and offline.",3,1,"[{""category-0"":""NO"",""category-1"":""YES"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""YES"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3S37Y8CWI8LCEMT8X11LH3UNOJDW4H,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,3P529IW9KZ69NSBS36V3OG6QBOMFLS,AMG9Y1YLBTKIV,Approved,Thu Jun 03 14:42:43 PDT 2021,Thu Jun 03 14:43:15 PDT 2021,Sun Jun 06 14:43:15 PDT 2021,Sun Jun 06 14:44:11 PDT 2021,,,32,100% (424/424),0% (0/0),0% (0/0),988431,www.cvlemmon.com,988431.jpeg,My WordPress  Just another WordPress site,,2,0,"[{""category-0"":""YES"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""YES"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3S37Y8CWI8LCEMT8X11LH3UNOJDW4H,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,37UQDCYH6YGZ448GZRZXNXRB4Y57VZ,ARFAW0SGYEMFL,Approved,Thu Jun 03 14:41:11 PDT 2021,Thu Jun 03 14:47:26 PDT 2021,Sun Jun 06 14:47:26 PDT 2021,Sun Jun 06 14:48:11 PDT 2021,,,375,100% (512/512),0% (0/0),0% (0/0),988431,www.cvlemmon.com,988431.jpeg,My WordPress  Just another WordPress site,,2,0,"[{""category-0"":""UNSURE"",""category-1"":""UNSURE"",""category-10"":""UNSURE"",""category-11"":""UNSURE"",""category-12"":""UNSURE"",""category-13"":""UNSURE"",""category-2"":""UNSURE"",""category-3"":""UNSURE"",""category-4"":""UNSURE"",""category-5"":""UNSURE"",""category-6"":""UNSURE"",""category-7"":""UNSURE"",""category-8"":""UNSURE"",""category-9"":""UNSURE"",""offline"":{""on"":true}}]",,
3S37Y8CWI8LCEMT8X11LH3UNOJDW4H,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,38SKSKU7R2ITXJDI4E1ORDJIRH3LIG,A3HW4QDJB63OQ2,Approved,Thu Jun 03 20:56:49 PDT 2021,Thu Jun 03 20:57:06 PDT 2021,Sun Jun 06 20:57:06 PDT 2021,Sun Jun 06 20:57:21 PDT 2021,,,17,100% (227/227),0% (0/0),0% (0/0),988431,www.cvlemmon.com,988431.jpeg,My WordPress  Just another WordPress site,,2,0,"[{""category-0"":""UNSURE"",""category-1"":""UNSURE"",""category-10"":""UNSURE"",""category-11"":""UNSURE"",""category-12"":""UNSURE"",""category-13"":""UNSURE"",""category-2"":""UNSURE"",""category-3"":""UNSURE"",""category-4"":""UNSURE"",""category-5"":""UNSURE"",""category-6"":""UNSURE"",""category-7"":""UNSURE"",""category-8"":""UNSURE"",""category-9"":""UNSURE"",""offline"":{""on"":true}}]",,
30QQTY5GMK5W55MM4ZKR2RT0U5SU70,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,3RXPCZQMQQW2BL3JLGJ2MMXOEV7G18,A9JHTV37LSE5F,Approved,Thu Jun 03 06:09:31 PDT 2021,Thu Jun 03 06:09:54 PDT 2021,Sun Jun 06 06:09:54 PDT 2021,Sun Jun 06 06:10:07 PDT 2021,,,23,100% (4/4),0% (0/0),0% (0/0),1866725,www.pontnewyddgolf.co.uk,1866725.jpeg,Wales  Pontnewydd Golf Club,"We are debatably the Oldest Golf Club in Wales, the course was established in 1875, over 140 years ago, and our aim now, as was then, is to provide quality, aff",13,3,"[{""category-0"":""NO"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""YES"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""YES"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
30QQTY5GMK5W55MM4ZKR2RT0U5SU70,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,37TD41K0AIUPOTM8WD23SWZI63XSCZ,AMG9Y1YLBTKIV,Approved,Thu Jun 03 07:14:21 PDT 2021,Thu Jun 03 07:16:39 PDT 2021,Sun Jun 06 07:16:39 PDT 2021,Sun Jun 06 07:17:07 PDT 2021,,,138,100% (424/424),0% (0/0),0% (0/0),1866725,www.pontnewyddgolf.co.uk,1866725.jpeg,Wales  Pontnewydd Golf Club,"We are debatably the Oldest Golf Club in Wales, the course was established in 1875, over 140 years ago, and our aim now, as was then, is to provide quality, aff",13,3,"[{""category-0"":""NO"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""YES"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""YES"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
30QQTY5GMK5W55MM4ZKR2RT0U5SU70,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,3UN61F00HXASOTDG2EFQOGOCSM5R5J,ARFAW0SGYEMFL,Approved,Thu Jun 03 16:21:48 PDT 2021,Thu Jun 03 16:24:26 PDT 2021,Sun Jun 06 16:24:26 PDT 2021,Sun Jun 06 16:25:11 PDT 2021,,,158,100% (512/512),0% (0/0),0% (0/0),1866725,www.pontnewyddgolf.co.uk,1866725.jpeg,Wales  Pontnewydd Golf Club,"We are debatably the Oldest Golf Club in Wales, the course was established in 1875, over 140 years ago, and our aim now, as was then, is to provide quality, aff",13,3,"[{""category-0"":""NO"",""category-1"":""YES"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""YES"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3M67TQBQQH9G4FWHDR1KGM8CISP9AG,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,3SNVL38CI5DR0A90R4T11A88P9OCK6,A1IZ4NX41GKU4X,Approved,Thu Jun 03 07:48:28 PDT 2021,Thu Jun 03 07:48:57 PDT 2021,Sun Jun 06 07:48:57 PDT 2021,Sun Jun 06 07:49:07 PDT 2021,,,29,100% (33/33),0% (0/0),0% (0/0),125542,www.arbeidstilsynet.no,125542.jpeg,Arbeidstilsynet,"Arbeidstilsynet arbeider for et seriøst, trygt og inkluderende arbeidsliv. Arbeidstilsynet skal gjennom tilsyn og veiledning motivere virksomhetene til å ivareta sitt arbeidsgiveransvar og arbeide systematisk med å sikre et forsvarlig arbeidsmiljø.",4,1,"[{""category-0"":""YES"",""category-1"":""YES"",""category-10"":""YES"",""category-11"":""YES"",""category-12"":""YES"",""category-13"":""YES"",""category-2"":""YES"",""category-3"":""YES"",""category-4"":""YES"",""category-5"":""YES"",""category-6"":""YES"",""category-7"":""YES"",""category-8"":""YES"",""category-9"":""YES"",""offline"":{""on"":false}}]",,
3M67TQBQQH9G4FWHDR1KGM8CISP9AG,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,3PJ71Z61R5NNWBGB7ADSU5B1AIM91K,A2U83S62P8SZ6T,Approved,Thu Jun 03 07:53:12 PDT 2021,Thu Jun 03 07:54:15 PDT 2021,Sun Jun 06 07:54:15 PDT 2021,Sun Jun 06 07:55:07 PDT 2021,,,63,100% (19/19),0% (0/0),0% (0/0),125542,www.arbeidstilsynet.no,125542.jpeg,Arbeidstilsynet,"Arbeidstilsynet arbeider for et seriøst, trygt og inkluderende arbeidsliv. Arbeidstilsynet skal gjennom tilsyn og veiledning motivere virksomhetene til å ivareta sitt arbeidsgiveransvar og arbeide systematisk med å sikre et forsvarlig arbeidsmiljø.",4,1,"[{""category-0"":""NO"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""YES"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3M67TQBQQH9G4FWHDR1KGM8CISP9AG,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,3YDGXNSEO0F4A5UKP0QGS7NT2YD84A,AMG9Y1YLBTKIV,Approved,Thu Jun 03 14:37:08 PDT 2021,Thu Jun 03 14:39:27 PDT 2021,Sun Jun 06 14:39:27 PDT 2021,Sun Jun 06 14:40:11 PDT 2021,,,139,100% (424/424),0% (0/0),0% (0/0),125542,www.arbeidstilsynet.no,125542.jpeg,Arbeidstilsynet,"Arbeidstilsynet arbeider for et seriøst, trygt og inkluderende arbeidsliv. Arbeidstilsynet skal gjennom tilsyn og veiledning motivere virksomhetene til å ivareta sitt arbeidsgiveransvar og arbeide systematisk med å sikre et forsvarlig arbeidsmiljø.",4,1,"[{""category-0"":""NO"",""category-1"":""YES"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""YES"",""offline"":{""on"":false}}]",,
3B6F54KMR2X2F6FGQE8IMGKZ6M81SV,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:37 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:37 PDT 2021,,,3G5W44VEU834HMP5TQPKR1TNN3IGKQ,AMG9Y1YLBTKIV,Approved,Thu Jun 03 14:54:10 PDT 2021,Thu Jun 03 14:54:50 PDT 2021,Sun Jun 06 14:54:50 PDT 2021,Sun Jun 06 14:55:11 PDT 2021,,,40,100% (424/424),0% (0/0),0% (0/0),1851769,milgeekuk.blogspot.com,1851769.jpeg,Milgeek UK,,8,2,"[{""category-0"":""YES"",""category-1"":""YES"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""YES"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
